period,market_id,temperature_c,temperature_min_c,temperature_max_c,observation_days,interest_index,below_one_share,source_resolution,label,country_iso2,country_iso3,scope,trends_geo,weather_source,latitude,longitude,timezone,hemisphere,climate_profile,analysis_role,year,month,month_name,interest_zscore,interest_scaled,temperature_climatology_c,interest_climatology,temperature_anomaly_c,interest_anomaly
2021-03-01,moscow,-3.729032258064516,-7.790322580645161,-0.1225806451612903,31,42.67741935483871,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,3,Mar,-0.24747735210316577,0.2656314785637284,-1.3748387096774195,38.49677419354839,-2.3541935483870966,4.180645161290322
2021-04-01,moscow,5.883333333333334,1.22,10.496666666666666,30,49.5,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,4,Apr,0.2183177894504313,0.3971722365038561,6.943333333333333,46.82,-1.0599999999999996,2.6799999999999997
2021-05-01,moscow,13.52258064516129,8.55483870967742,17.809677419354838,31,69.03225806451613,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,5,May,1.551835322361557,0.7737581889045526,11.931612903225806,61.038709677419355,1.5909677419354828,7.993548387096773
2021-06-01,moscow,19.90666666666667,14.483333333333333,24.186666666666667,30,77.06666666666666,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,6,Jun,2.100365077710411,0.9286632390745501,18.208000000000006,74.26666666666667,1.6986666666666643,2.799999999999997
2021-07-01,moscow,22.44838709677419,17.33225806451613,26.64516129032258,31,70.35483870967742,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,7,Jul,1.642131307249016,0.799257815739282,20.901290322580643,70.38064516129032,1.5470967741935482,-0.025806451612893966
2021-08-01,moscow,19.64516129032258,15.432258064516128,23.79032258064516,31,49.32258064516129,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,8,Aug,0.20620491342894282,0.3937515548552948,19.31225806451613,49.70967741935483,0.3329032258064508,-0.3870967741935445
2021-09-01,moscow,9.953333333333337,7.409999999999999,12.406666666666666,30,32.4,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,9,Sep,-0.9491432249115636,0.06748071979434447,13.171333333333333,38.22,-3.2179999999999964,-5.82
2021-10-01,moscow,5.825806451612903,2.693548387096774,9.003225806451614,31,33.25806451612903,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,10,Oct,-0.8905609517894562,0.0840243801310225,6.501935483870968,34.30322580645161,-0.6761290322580651,-1.045161290322575
2021-11-01,moscow,1.5833333333333333,-0.7766666666666667,3.67,30,28.9,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,11,Nov,-1.1880972336991062,0.0,0.8526666666666667,34.96,0.7306666666666666,-6.060000000000002
2021-12-01,moscow,-7.974193548387097,-10.67741935483871,-5.603225806451613,31,31.774193548387096,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2021,12,Dec,-0.9918686421509951,0.05541504270669211,-4.844516129032258,33.490322580645156,-3.129677419354839,-1.7161290322580598
2022-01-01,moscow,-6.764516129032257,-9.096774193548388,-4.577419354838709,31,35.96774193548387,0.0,week,Moscow · Central Russia,RU,RUS,region,RU-MOW,open_meteo,55.7558,37.6173,Europe/Moscow,north,humid continental,deep_dive,2022,1,Jan,-0.7055642998249069,0.13626751803632145,-6.683870967741936,37.03225806451613,-0.08064516129032118,-1.0645161290322562
